Left Count: 27   Right Count: 28   PWM: 120   Left RPM: 84.37   Right RPM: 87.50
Left Count: 29   Right Count: 29   PWM: 125   Left RPM: 90.62   Right RPM: 90.62
Left Count: 30   Right Count: 30   PWM: 130   Left RPM: 93.75   Right RPM: 93.75
Left Count: 31   Right Count: 31   PWM: 135   Left RPM: 96.87   Right RPM: 96.87
Left Count: 33   Right Count: 32   PWM: 140   Left RPM: 103.12   Right RPM: 100.00
Left Count: 34   Right Count: 35   PWM: 145   Left RPM: 106.25   Right RPM: 109.37
Left Count: 36   Right Count: 36   PWM: 150   Left RPM: 112.50   Right RPM: 112.50
Left Count: 37   Right Count: 37   PWM: 155   Left RPM: 115.62   Right RPM: 115.62
Left Count: 38   Right Count: 38   PWM: 160   Left RPM: 118.75   Right RPM: 118.75
Left Count: 40   Right Count: 40   PWM: 165   Left RPM: 125.00   Right RPM: 125.00
Left Count: 41   Right Count: 41   PWM: 170   Left RPM: 128.13   Right RPM: 128.13
Left Count: 42   Right Count: 42   PWM: 175   Left RPM: 131.25   Right RPM: 131.25
Left Count: 44   Right Count: 43   PWM: 180   Left RPM: 137.50   Right RPM: 134.38
Left Count: 44   Right Count: 45   PWM: 185   Left RPM: 137.50   Right RPM: 140.63
Left Count: 46   Right Count: 46   PWM: 190   Left RPM: 143.75   Right RPM: 143.75
Left Count: 47   Right Count: 47   PWM: 195   Left RPM: 146.88   Right RPM: 146.88
Left Count: 49   Right Count: 48   PWM: 200   Left RPM: 153.13   Right RPM: 150.00
Left Count: 49   Right Count: 50   PWM: 205   Left RPM: 153.13   Right RPM: 156.25
Left Count: 51   Right Count: 51   PWM: 210   Left RPM: 159.38   Right RPM: 159.38
Left Count: 52   Right Count: 52   PWM: 215   Left RPM: 162.50   Right RPM: 162.50
Left Count: 54   Right Count: 53   PWM: 220   Left RPM: 168.75   Right RPM: 165.63
Left Count: 54   Right Count: 55   PWM: 225   Left RPM: 168.75   Right RPM: 171.88
Left Count: 55   Right Count: 55   PWM: 230   Left RPM: 171.88   Right RPM: 171.88
Left Count: 57   Right Count: 56   PWM: 235   Left RPM: 178.13   Right RPM: 175.00
Left Count: 57   Right Count: 58   PWM: 240   Left RPM: 178.13   Right RPM: 181.25
Left Count: 59   Right Count: 58   PWM: 245   Left RPM: 184.38   Right RPM: 181.25
Left Count: 59   Right Count: 60   PWM: 250   Left RPM: 184.38   Right RPM: 187.50
Left Count: 61   Right Count: 61   PWM: 255   Left RPM: 190.63   Right RPM: 190.63
